"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","method"
"109",9,3e+05,0.3,0.01,-1,0.647058823529412,-5.20808045802258e-06,-0.000608181057964728,7.19954439735798e-05,-0.000462906029909166,-0.132623357081944,"EB"
"110",10,3e+05,0.3,0.01,-1,0.647727272727273,-8.50057306218582e-06,-0.000989936752783859,0.000428333096241386,-0.000298085876695057,-0.206733786146595,"EB"
"111",11,3e+05,0.3,0.01,-1,0.612903225806452,-5.16154487810664e-06,-0.000630599387156345,-0.000316181724040168,9.52219297156524e-05,-0.143062150599553,"EB"
"112",12,3e+05,0.3,0.01,-1,0.687426556991774,-8.07079837180974e-06,-0.000991558908169108,0.000382170485931015,-0.000553145423162166,-0.217183660760644,"EB"
"113",13,3e+05,0.3,0.01,-1,0.644963144963145,-7.99207070147519e-06,-0.000905419394393045,0.00024682637708673,-0.000206011244493936,-0.186063951685626,"EB"
"114",14,3e+05,0.3,0.01,-1,0.584615384615385,-5.50548849798976e-06,-0.000611623534855982,0.000527945588791213,-0.000154420867189343,-0.127248499776418,"EB"
"115",15,3e+05,0.3,0.01,-1,0.657239819004525,-6.37899441433998e-06,-0.000761589962628258,0.000141265337766394,-0.000186849923814436,-0.166695827135192,"EB"
"116",16,3e+05,0.3,0.01,-1,0.659064994298746,-6.60962168671993e-06,-0.00080559608533842,2.67663541610019e-05,-4.90202150930413e-05,-0.178818077906594,"EB"
"117",17,3e+05,0.3,0.01,-1,0.652431791221827,-6.26759222646569e-06,-0.000793205246449269,4.23482521558975e-05,-0.000171174022060301,-0.182454933507728,"EB"
"118",18,3e+05,0.3,0.01,-1,0.643529411764706,-4.05044053048498e-06,-0.000494896753299129,0.000241806913255924,5.20587480165234e-05,-0.114040549208746,"EB"
"119",19,3e+05,0.3,0.01,-1,0.640192539109507,-6.95540429703394e-06,-0.00083159555458344,0.000150436184305211,-4.73785491916428e-05,-0.180869672828492,"EB"
"120",20,3e+05,0.3,0.01,-1,0.647127784290739,-8.41095233174972e-06,-0.00096578100509181,6.40577352555061e-05,-0.000310863172656064,-0.199649907224151,"EB"
"121",21,3e+05,0.3,0.01,-1,0.62621359223301,-6.78210531986138e-06,-0.000789373066326063,-0.000127254568516724,-4.9587373980757e-05,-0.168289462107768,"EB"
"122",22,3e+05,0.3,0.01,-1,0.641277641277641,-5.79582633157294e-06,-0.000685880107959528,-1.62015100473192e-05,-0.000313689773362275,-0.15014751497633,"EB"
"123",23,3e+05,0.3,0.01,-1,0.60609613130129,-3.58997124059277e-06,-0.00042137275086911,9.01454917392626e-05,-0.000144297550808202,-0.094255479093601,"EB"
"124",24,3e+05,0.3,0.01,-1,0.644736842105263,-6.96387200462615e-06,-0.000812486268183469,0.000134509092772942,-0.000167903401190854,-0.173172461073302,"EB"
"125",25,3e+05,0.3,0.01,-1,0.652912621359223,-7.23677800330947e-06,-0.000903309614642725,0.000100693227055317,-0.000298680403547405,-0.202655897313763,"EB"
"126",26,3e+05,0.3,0.01,-1,0.65554231227652,-6.16735812102929e-06,-0.00074143267594418,-0.000340322108194131,-0.000168596802651369,-0.163678970402771,"EB"
"127",27,3e+05,0.3,0.01,-1,0.611435239206534,-4.95519769072161e-06,-0.00064399831255833,-0.000115897357410379,0.000599305139103979,-0.154465219990938,"EB"
"128",28,3e+05,0.3,0.01,-1,0.63689776733255,-7.73491326566148e-06,-0.000929523818906043,0.000132498177442262,3.81800775297829e-06,-0.200958666116089,"EB"
