"","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","flb_error","mse_error","rmse_error","bias_up_error","bias_down_error","rel_mse_error","method"
"14012",30000,0.8,0.001,0,0.273028889234296,0.0011625757692679,0.0141382416606307,-0.0241518070434947,0.0251123750827573,1.02847862043114,0.0261253385111981,0.000238601417625969,0.00282387562356237,0.00385469021195896,0.00466615895674077,0.295194735757072,"BR"
"15012",3e+05,0.8,0.001,0,0.297017566161218,7.21253936768855e-05,0.00268226741941137,-0.00504387421471324,0.00558043141362393,0.500199325304205,0.0286150032463566,1.89381219389964e-05,0.000655952930717832,0.00087986351895724,0.000931503432686888,0.141745982432187,"BR"
"16012",30000,0.3,0.01,1,1,-0.0237608345370291,-0.116197684224,0.015370960352164,-0.0422157150744684,-0.930831644429647,0,0.00885860842374353,0.0216661725771851,0.0463501853565126,0.0203576803055748,0.0335644320684326,"BR"
"17012",3e+05,0.3,0.01,1,0.664359186539283,-8.89542507486015e-05,-0.00390722071439713,-0.00252208027932492,0.00290771677660608,-0.493932851982744,0.0520338144572078,2.21489165515061e-05,0.000952526293762136,0.00156802186124663,0.00166237124890193,0.0892293752563572,"BR"
"18012",30000,0.8,0.01,1,0.668056898847738,-0.000971712683685827,-0.0130984461630247,-0.0091939470988794,0.00881027951226985,-0.505256661154524,0.0470483627772041,0.00023942732792548,0.00300768314715881,0.00510173605725536,0.00475159976436503,0.0800674138210758,"BR"
"19012",3e+05,0.8,0.01,1,0.514929466097011,7.96111812057144e-07,4.01302515052903e-05,-0.00165267170551719,0.00168242474004181,0.00836249563260248,0.0100165679304299,2.18479238023728e-06,0.000109113124400164,0.000330434862628596,0.000343234010978091,0.0220426512890055,"BR"
"20012",30000,0.3,0.001,1,0.488476363033252,0.000129777474727445,0.00276585075825465,-0.0342429454609399,0.0342374700389982,0.477959323608991,0.173407492061536,0.00202565041105843,0.0166592326503827,0.0158105269639781,0.0188476213291361,1.19702396007592,"BR"
"21012",3e+05,0.3,0.001,1,0.259908817599987,0.000119859718268575,0.00479690723107676,-0.00809265846954122,0.00828277358559128,1.19508120687587,0.0250867482767511,1.95117144662048e-05,0.000725510286724432,0.00132331665936262,0.00133817302654427,0.261692909334579,"BR"
"22012",30000,0.8,0.001,1,0.264477393129161,0.00112236724160359,0.0142919383963291,-0.0243439678215058,0.02461776536917,1.10839006918919,0.0268934419929071,0.000211411980195043,0.00249749721111735,0.00424792944354894,0.00439813206239582,0.266224644627804,"BR"
"23012",3e+05,0.8,0.001,1,0.304012877485694,5.53117513642593e-05,0.00231937984871589,-0.00488034817016083,0.00517718199830393,0.481493379558228,0.0318207203344619,9.86021176413467e-06,0.000402891861204661,0.000731104884667441,0.000809048201852155,0.100270621291187,"BR"
"13",30000,0.3,0.01,-1,1,-0.0252785553735731,-0.111482403935486,0.0492877612485312,-0.0822384084070866,-0.80563616851354,0,0.0111809368639965,0.0474181657575653,0.0621218554506564,0.049367242663901,0.201696954131558,"cl1"
"1013",3e+05,0.3,0.01,-1,0.587465915805109,0.000447566086460006,0.00800217992712767,-0.0117672863708984,0.0107547703574326,0.885904900829063,0.0630024995075385,0.000283617147760119,0.00456836316503123,0.00516280076257716,0.00574105203325713,0.590517606185174,"cl1"
"2013",30000,0.8,0.01,-1,0.588819424976653,0.00428910387218819,0.0242253029018493,-0.0372623561838979,0.0329478299186766,0.873205049861618,0.0745701246637801,0.00305735348351138,0.0161944185111779,0.0200641270257557,0.0201089503871521,0.723895389975008,"cl1"
"3013",3e+05,0.8,0.01,-1,0.513955612136511,0.000355500303946425,0.00968097414269643,-0.00444094636539709,0.00503629331115201,1.95601239088556,0.0089468979010859,3.59610435409663e-05,0.000792821676348594,0.000570058236242733,0.000634562140596052,0.222460834207829,"cl1"
"4013",30000,0.3,0.001,-1,0.597646103896104,0.0037575747520353,0.0203173185351456,-0.0330658011267268,0.0282450986623255,1.91643301297961,0.230799969524865,0.00761736513375048,0.0396525592676947,0.0501506671260636,0.0564928428490893,5.6148892700929,"cl1"
"5013",3e+05,0.3,0.001,-1,0.518083375656279,0.000343386623481246,0.00929723047122655,-0.00413065117100412,0.00493627133374058,1.91089589078803,0.0282791983431445,0.000119000888610157,0.00257374442202201,0.00171081978854651,0.00159248043553778,0.726313550754823,"cl1"
"6013",30000,0.8,0.001,-1,0.516830271828141,0.0040306011141729,0.0328272504439515,-0.0123157651798639,0.018660421251024,2.17415087425107,0.0276568767120607,0.00174026411523094,0.0106033172478388,0.00538606052988231,0.00677066314226712,0.925876911538448,"cl1"
"7013",3e+05,0.8,0.001,-1,0.503744014944383,9.22737446487377e-05,0.00300775829303447,-0.0010100794786147,0.00125737091611419,0.498814529465878,0.0192282838897718,3.72086880769935e-05,0.00109264249619911,0.000777313479675215,0.000918641065694514,0.206648566177805,"cl1"
"8013",30000,0.3,0.01,0,1,-0.0441222601376963,-0.121567907514252,-0.0163343290234358,-0.0273682045600591,-0.848025800755766,0,0.089442781372406,0.149071233174492,0.0499554995623238,0.0456942617683405,0.123085796011328,"cl1"
"9013",3e+05,0.3,0.01,0,0.569129452013657,0.000267028353271933,0.00716820607920789,-0.00834661388313984,0.00872425631709729,1.24464769701531,0.0570751919533538,8.5978819021426e-05,0.00215028937716741,0.00299674659297695,0.00324658685547595,0.493990293315652,"cl1"
"10013",30000,0.8,0.01,0,0.574213526172109,0.00246176351587154,0.0206882203302207,-0.027786293198752,0.0265023371176015,1.0759356695924,0.0683116079225877,0.000813976876687412,0.00642353429714307,0.0108732026089075,0.012234268313689,0.459439428371498,"cl1"
"11013",3e+05,0.8,0.01,0,0.512104056006842,0.000223032200895858,0.00759337913053569,-0.00390025767883479,0.00406900454992081,1.88521371603972,0.00873348398309908,1.38582589907482e-05,0.000378985067394423,0.00040792667051826,0.000454510667790762,0.133013367646924,"cl1"
"12013",30000,0.3,0.001,0,0.555975385725386,0.00265891892126506,0.0215343840162253,-0.0261846818471001,0.0247089546721245,1.67376915173095,0.184589418462479,0.00251423309240915,0.0194347352998109,0.031227927918116,0.0406924852187224,2.67752348620008,"cl1"
"13013",3e+05,0.3,0.001,0,0.514377655574412,0.000211208889632115,0.00723706820061978,-0.00361296219842791,0.00386568311236962,1.80676616217686,0.032348425296385,4.98727256953519e-05,0.0013859070077127,0.0014459203175907,0.00144736734308646,0.461602958776408,"cl1"
"14013",30000,0.8,0.001,0,0.509292780675109,0.00222565596906557,0.0239913779606489,-0.011284099440656,0.0147084668658047,1.95814710776799,0.0304923794132465,0.000547499675033524,0.00496143600868343,0.00417895690713815,0.00557492850097374,0.598486041768371,"cl1"
"15013",3e+05,0.8,0.001,0,0.499416921909329,0.0001157313271818,0.00405186495635445,-0.00133268349014078,0.00151181392153586,0.799773195409029,0.0197063483357869,4.34273269187844e-05,0.00131126670159762,0.000828198498848638,0.000979556613222503,0.30475289071928,"cl1"
"16013",30000,0.3,0.01,1,1,-0.0236254203662126,-0.122693253356076,-0.0232380758680147,-0.0263896549822658,-0.844986657606512,0,0.0116141980858109,0.0591753505042393,0.0605145372479908,0.0394582982547864,0.269569675445102,"cl1"
"17013",3e+05,0.3,0.01,1,0.559591936070683,0.000272760326772412,0.00785091532689603,-0.00801400154296677,0.00830814265168672,1.56575073222856,0.0499837308425579,6.9103609774651e-05,0.00176888153702418,0.00248286717603782,0.00283161435666176,0.493946012176785,"cl1"
"18013",30000,0.8,0.01,1,0.562948104829945,0.00259842661537729,0.0233902997447111,-0.0262425852848811,0.0246475450900612,1.40050403169596,0.0482403671258986,0.000653500987455469,0.00542600871621119,0.008075680593528,0.00809031877187148,0.430185835036398,"cl1"
"19013",3e+05,0.8,0.01,1,0.511669581763202,0.000172173419960145,0.00650442419805793,-0.00336085554895978,0.00347721007345572,1.73221172853967,0.00890554368811199,1.23202997206362e-05,0.000383332086928892,0.000437705515255792,0.000396980152540912,0.139235979625487,"cl1"
"20013",30000,0.3,0.001,1,0.565181092943864,0.00238260773427771,0.0216995820913673,-0.0246677695494126,0.0245349741506732,1.89439960104044,0.154643909440879,0.00289969892402813,0.0215897268935535,0.0248678870505421,0.0316907318666538,2.24814202325246,"cl1"
"21013",3e+05,0.3,0.001,1,0.512497679352365,0.000174016150987561,0.00648673367069776,-0.00322982025913042,0.00352300120054231,1.73181623448714,0.0301103814855766,3.98986388452302e-05,0.00124071719282334,0.00142597291386584,0.00132307164200775,0.469811535720922,"cl1"
"22013",30000,0.8,0.001,1,0.517675281329159,0.00171666335039018,0.0202150690560945,-0.0100451110701418,0.0110640329115108,1.69188662101913,0.0292240388423025,0.000420394855288735,0.00410057656891724,0.00427753917170211,0.00435219284056833,0.473912828896968,"cl1"
"23013",3e+05,0.8,0.001,1,0.504386677753425,9.15641176860572e-05,0.00360823995076941,-0.00135730163232356,0.00134813121515238,0.79449093437752,0.0200379044916625,2.87217968542175e-05,0.000996073663577744,0.000765792579735039,0.000840315108547789,0.25830313663734,"cl1"
"14",30000,0.3,0.01,-1,1,-0.0238347649869019,-0.0894592869562485,0.0828707188191977,-0.092166217175648,-0.759559326454041,0,0.00938453652421433,0.0180855938603937,0.0301534963794093,0.0308442081844129,0.0923227324908041,"cl2"
"1014",3e+05,0.3,0.01,-1,0.671153385830002,-0.000156065607613575,-0.00360826418952855,-0.00725964889916457,0.00622406406128628,-0.256115798068787,0.055907730007209,0.000149219754627434,0.00324390162266602,0.00322116346232021,0.00360352969519773,0.231387498189771,"cl2"
"2014",30000,0.8,0.01,-1,0.679129277669517,-0.00158406312520903,-0.0116244984554388,-0.0240761965647452,0.0163583148548691,-0.254431163835406,0.0593228882109135,0.00155760407049057,0.0110177294458364,0.012275778121906,0.0125545820340934,0.265355456116245,"cl2"
"3014",3e+05,0.8,0.01,-1,0.484165855318594,0.000213044632534142,0.00637493816011016,-0.00487186376811287,0.00550605388756992,1.17186219138386,0.00901325069400227,2.65386186308222e-05,0.000653979262182966,0.000484949119548632,0.000541043003690208,0.154188291726731,"cl2"
