"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","method"
"124",24,3e+05,0.3,0.01,-1,0.660899653979239,-6.76289468563838e-06,-0.00092238757604327,0.000252484413201264,-0.00165167469143551,-0.397034935799488,"EB"
"125",25,3e+05,0.3,0.01,-1,0.668171557562077,-5.85143196744183e-06,-0.000907496205063326,0.000169786991631372,-0.000414059712073118,-0.432625063398518,"EB"
"126",26,3e+05,0.3,0.01,-1,0.643966547192354,-4.80945043294694e-06,-0.000686245273139052,0.000219651978245153,-0.00171796976288879,-0.32492514911903,"EB"
"127",27,3e+05,0.3,0.01,-1,0.65132336018412,-6.43793842879681e-06,-0.000968117807772065,6.59624524649934e-05,-0.00110136979576704,-0.443727903960931,"EB"
"128",28,3e+05,0.3,0.01,-1,0.678251121076233,-7.19040242775943e-06,-0.000985518869792931,0.000510146714949891,-0.000488608766560742,-0.419360148367517,"EB"
"129",29,3e+05,0.3,0.01,-1,0.669336384439359,-7.07088966915246e-06,-0.000949102841876614,0.000302547165354267,-0.00159156761582684,-0.400922330275721,"EB"
"130",30,3e+05,0.3,0.01,-1,0.657407407407407,-6.15561039547668e-06,-0.000870697016879262,0.000235667295020897,0.000258981227716414,-0.390518121086559,"EB"
"131",31,3e+05,0.3,0.01,-1,0.601212121212121,-6.21876338681559e-06,-0.000889308377785581,-4.34601038517278e-05,2.48532762668828e-05,-0.400385423686764,"EB"
"132",32,3e+05,0.3,0.01,-1,0.629854368932039,-6.59835714402259e-06,-0.000923829953359189,0.000104577346842031,-0.000759585509597366,-0.405653569409355,"EB"
"133",33,3e+05,0.3,0.01,-1,0.676905574516496,-7.06518851757582e-06,-0.000963968912798221,0.000276514245580418,-0.00172727207458576,-0.410899282659121,"EB"
"134",34,3e+05,0.3,0.01,-1,0.648681055155875,-5.16616458507459e-06,-0.000781944512367903,9.80390077583798e-05,-0.000281343609670321,-0.378516562986862,"EB"
"135",35,3e+05,0.3,0.01,-1,0.643802647412756,-7.03496136418178e-06,-0.00101035496602112,0.000136781008555405,-0.00141870594119439,-0.442644052827616,"EB"
"136",36,3e+05,0.3,0.01,-1,0.694021101992966,-7.4058536857225e-06,-0.00104849687784105,0.000314219343117909,-0.00168943884263192,-0.450194726593551,"EB"
"137",37,3e+05,0.3,0.01,-1,0.644287396937574,-7.23250887482128e-06,-0.00102130158355262,2.87907372781696e-05,-0.00130691206657875,-0.440617340587044,"EB"
"138",38,3e+05,0.3,0.01,-1,0.65361803084223,-5.90305768043485e-06,-0.000852270367693332,6.70011683877532e-05,-0.000283983044292448,-0.390247747731354,"EB"
"139",39,3e+05,0.3,0.01,-1,0.657108721624851,-6.72030340518757e-06,-0.000913752086496775,0.000241879149997493,-0.000631654182532672,-0.393195359805228,"EB"
"140",40,3e+05,0.3,0.01,-1,0.667428571428571,-8.20508290744972e-06,-0.00112269527299131,0.000223516014740914,-0.0024879526571218,-0.46171831536044,"EB"
"141",41,3e+05,0.3,0.01,-1,0.638755980861244,-4.99714166956576e-06,-0.000687122125100033,7.67890343914715e-05,-0.000295783433977562,-0.315492794151372,"EB"
"142",42,3e+05,0.3,0.01,-1,0.671981776765376,-6.38505036197069e-06,-0.000888276341520673,0.000246069005756058,7.11526109233078e-05,-0.391550196391497,"EB"
"143",43,3e+05,0.3,0.01,-1,0.655952380952381,-6.39640664607803e-06,-0.000856031185737294,8.14481916299854e-05,-0.000898147488306851,-0.368887650512629,"EB"
"144",44,3e+05,0.3,0.01,-1,0.6429418742586,-6.17931686106359e-06,-0.000852975248001788,0.000120628263025983,-0.00122944657443146,-0.376971949862356,"EB"
"145",45,3e+05,0.3,0.01,-1,0.66109785202864,-6.87133996156657e-06,-0.000961416127182028,0.00022897856541532,-0.00239236334596005,-0.418040492000185,"EB"
"146",46,3e+05,0.3,0.01,-1,0.689461883408072,-7.9097655028869e-06,-0.00109353137810606,0.000256368333248539,-0.00253197982069069,-0.456321798109914,"EB"
"147",47,3e+05,0.3,0.01,-1,0.61875,-6.12454683195832e-06,-0.000853485194540946,-6.08761063517824e-05,-0.000226149165780337,-0.379985061389319,"EB"
"148",48,3e+05,0.3,0.01,-1,0.629500580720093,-7.42979425880381e-06,-0.00104479060681346,-9.40315897937605e-05,-0.00064941944271071,-0.446761008365961,"EB"
"149",49,3e+05,0.3,0.01,-1,0.668577981651376,-5.43033038824741e-06,-0.000804458694375672,0.00025467984385241,0.000376680235541676,-0.380580095167636,"EB"
"150",50,3e+05,0.3,0.01,-1,0.635502958579882,-6.1030478537462e-06,-0.000842582833736957,4.8116393938682e-05,-0.00125115241174171,-0.373384260929322,"EB"
"151",51,3e+05,0.3,0.01,-1,0.656103286384977,-5.63876121312046e-06,-0.000844571859037201,1.33872521790242e-05,-0.000197612374751886,-0.398737734541873,"EB"
"152",52,3e+05,0.3,0.01,-1,0.65473441108545,-7.52484723457626e-06,-0.000974565144911943,0.000148421196046186,-0.00214287537989272,-0.398050803218518,"EB"
"153",53,3e+05,0.3,0.01,-1,0.627851140456183,-6.98257454934237e-06,-0.000955875574430628,2.99318585987536e-05,-0.00134435252643138,-0.409292727605706,"EB"
"154",54,3e+05,0.3,0.01,-1,0.62870699881376,-5.02201264581367e-06,-0.000755748764107167,4.50791075780083e-05,-0.000540627273655007,-0.366755660564454,"EB"
"155",55,3e+05,0.3,0.01,-1,0.646857142857143,-6.58217130719224e-06,-0.000912190321462637,5.87724276969562e-05,0.000255973466403386,-0.398532898139035,"EB"
"156",56,3e+05,0.3,0.01,-1,0.657239819004525,-5.97724544468274e-06,-0.00087239433739795,0.000170637793920479,0.000771151606068011,-0.400759511574751,"EB"
"157",57,3e+05,0.3,0.01,-1,0.651053864168618,-5.69059162946962e-06,-0.000840663598006571,0.000131637963271252,-0.00159710327815406,-0.393067849773484,"EB"
"158",58,3e+05,0.3,0.01,-1,0.669345579793341,-6.37144950206588e-06,-0.000896685848498129,0.000300066301053118,-0.00187242431389785,-0.397992725744535,"EB"
"159",59,3e+05,0.3,0.01,-1,0.620648259303721,-5.99569480803578e-06,-0.000862840609766021,-9.43367484971032e-05,-0.000165837215537894,-0.393021718088376,"EB"
"160",60,3e+05,0.3,0.01,-1,0.676056338028169,-7.6663766161605e-06,-0.00106371470668202,0.000240186581367778,-0.00190006786668593,-0.448276346250325,"EB"
"161",61,3e+05,0.3,0.01,-1,0.650602409638554,-5.62708568045541e-06,-0.000869033631916471,-5.26219877082445e-05,0.000939800568370321,-0.417312660071974,"EB"
