"","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","flb_error","mse_error","rmse_error","bias_up_error","bias_down_error","rel_mse_error","method"
"2017",30000,0.8,0.01,0,0.742695774577254,5.74252880538814e-05,0.00114719158616764,-0.000275851193604753,0.000304104148390119,0.04807143854568,0.024477141365846,5.79945258774377e-05,0.00115530320794552,0.00181948625898979,0.00198046999491761,0.0487254951192499,"cl1"
"3017",3e+05,0.8,0.01,0,0.554351738014107,3.34785341373847e-05,0.0029033572217109,-0.0011926285675594,0.00120185591115128,0.673266235848701,0.00848523320351889,8.87033686423485e-07,6.86725175878649e-05,0.000129117357762166,0.000138775517596805,0.0212343948376108,"cl1"
"4017",30000,0.3,0.001,0,0.64294259785834,0.000306168270981954,0.0066101578989467,-0.0032219417124506,0.0031333309598089,0.335360618057835,0.0352887114993134,5.24015523946721e-05,0.00111712828004462,0.00192000862386996,0.00222762839669875,0.0686288861319458,"cl1"
"5017",3e+05,0.3,0.001,0,0.534824345395966,2.31439911818218e-05,0.00218803437725314,-0.000825986203288151,0.000818611415906203,0.522201599587756,0.0138026970557023,1.31473291668251e-06,0.000112146150439314,0.000249397606191171,0.000242971793265175,0.0330029320194801,"cl1"
"6017",30000,0.8,0.001,0,0.572482459540406,0.000347103133407213,0.00885295175724415,-0.00387503145811285,0.00387929161958495,0.584910229100849,0.0226004356174832,2.87335471752833e-05,0.000654708106445773,0.00139763804277126,0.0012177619596718,0.0549993917465839,"cl1"
"7017",3e+05,0.8,0.001,0,0.523019235131971,1.54275009496483e-05,0.00157898202857505,-0.000532428026564553,0.000535610693797118,0.38583064410515,0.0135610375059426,8.41814230477662e-07,7.64468426620298e-05,0.000203390935326674,0.000194831473045971,0.0217699771590932,"cl1"
"18",30000,0.3,0.01,0,0.97794817639199,-0.000932422298856184,-0.0154268405394068,0.0164134987155861,-0.0167065786968514,-0.407119058272775,0.0201241116991776,8.1781937252972e-05,0.00100299592409512,0.00287385612673887,0.0031108745927465,0.0244862465347911,"cl2"
"1018",3e+05,0.3,0.01,0,0.588285950106452,1.62865720416858e-05,0.00142600261883202,-0.00130395165217041,0.00129481838548514,0.285732446102191,0.012310641589228,1.38491915434595e-06,0.000118965717033989,0.000188452285304944,0.000210815766304079,0.0275595486989923,"cl2"
"2018",30000,0.8,0.01,0,0.79252714414834,-0.000235694399695093,-0.00537925308402635,0.00234677782623623,-0.00230109293947554,-0.218313208251506,0.0261610435029426,4.32447327150705e-05,0.000925558971546701,0.00148117219688043,0.00172275754413886,0.0326835446437767,"cl2"
"3018",3e+05,0.8,0.01,0,0.531872994132806,1.80234495562459e-05,0.00173866809492787,-0.00125529682609601,0.00126516707589542,0.403229614700879,0.0085141904980711,7.27316606944793e-07,6.68037528023248e-05,0.0001279491663979,0.000135314822683729,0.0186762280828589,"cl2"
