"","n_samples","h2","prop_effect","S","flb","mse","rmse","bias_up","bias_down","rel_mse","flb_error","mse_error","rmse_error","bias_up_error","bias_down_error","rel_mse_error","method"
"12",30000,0.3,0.01,-1,1,-0.00119086085897365,-0.0255387250553292,-0.000695108060430245,-0.00826005726068433,-0.906910160162759,0,0.000945915294840109,0.0097120304142974,0.00964289209090128,0.0183442766571552,0.122876212143423,"BR"
"1012",3e+05,0.3,0.01,-1,0.625451274210892,-5.92068224870705e-06,-0.000820631262765131,-0.000183180859551212,0.00128390034103857,-0.365777000605551,0.0173885796218729,1.08055087519979e-06,0.000133918296788914,0.000141061732270691,0.000735856966153344,0.0445473850719844,"BR"
"2012",30000,0.8,0.01,-1,0.901993700139506,-0.00041385422851312,-0.0137673224270103,0.000216010315113665,0.00913188261515783,-0.863229175192609,0.0634562357219968,0.000131172548707481,0.002517318793092,0.00210593926761937,0.0135327756203644,0.0455304744279264,"BR"
"3012",3e+05,0.8,0.01,-1,0.539467700251416,-9.73091774097057e-07,-0.000133944293246886,-0.000221722986524734,0.00088349209578801,-0.0706682678092504,0.0115458377878613,4.21396668488917e-07,5.79848775051412e-05,9.33644111646492e-05,0.00031541216548004,0.0300655186071846,"BR"
"4012",30000,0.3,0.001,-1,0.525317499080468,1.08922225953301e-06,7.02765421984515e-05,-0.00453172665822059,0.015244343379558,0.0593079945303039,0.0598917814428933,5.69407063292183e-05,0.0019952173139935,0.001601048834585,0.00959937657881681,0.328983016040422,"BR"
"5012",3e+05,0.3,0.001,-1,0.28171808339566,1.09203385779348e-05,0.00123439891614017,-0.00156020225205403,0.00336414165581629,0.767384954054751,0.0247906817625546,2.48176251303163e-06,0.000255069816893222,0.000222040127787143,0.00060776330017763,0.197380085139345,"BR"
"6012",30000,0.8,0.001,-1,0.319622792847798,8.55969767531188e-05,0.00321706043313344,-0.0053599395099558,0.00909019981074367,0.657148942779165,0.0302395219598189,3.55715862500988e-05,0.00125821031509441,0.00110593503703415,0.00358192035206143,0.297836563729422,"BR"
"7012",3e+05,0.8,0.001,-1,0.287829736905125,8.81641129990299e-06,0.00100309639901755,-0.00109439060015432,0.0032199245781185,0.589735962568925,0.0454312709663012,2.07155836741013e-06,0.000210831980900048,0.000220014501232818,0.000465175615681632,0.14258378577099,"BR"
"8012",30000,0.3,0.01,0,1,-0.00135668450098088,-0.0287530170097623,-0.000402031180476197,-0.0322351076542886,-0.97126933670631,0,0.00191361111552951,0.0114178642494986,0.00696609103624661,NA,0.0349775046964802,"BR"
"9012",3e+05,0.3,0.01,0,0.635077571178854,-4.43644705733319e-06,-0.000724742446770526,-7.55266180317248e-05,0.00176402963602055,-0.378473298718801,0.0150245002198007,4.35981628537254e-07,5.98752334116743e-05,0.000118246250990633,0.00113532237061939,0.0222494007474196,"BR"
"10012",30000,0.8,0.01,0,0.929552613958204,-0.000338668530550411,-0.0128401526726994,0.000493060430310273,-0.00943256043236431,-0.881126156889193,0.0617894569084557,9.41139515806218e-05,0.00174742953418283,0.00180274580962443,0.0195418292389938,0.0396841250650106,"BR"
"11012",3e+05,0.8,0.01,0,0.537950248531522,-1.01855579508702e-06,-0.000163784420680839,-0.000159603044723876,0.000833742498946418,-0.0999095031695049,0.0104550920142646,1.74655815390811e-07,2.69931370723502e-05,7.13569944142864e-05,0.00037128362061367,0.0151179218437129,"BR"
"12012",30000,0.3,0.001,0,0.546402466490594,-8.01877313266818e-06,-0.000382296119687142,-0.00376720633873939,0.0152194463101628,-0.0545182442745465,0.0553771636314887,2.12723801592588e-05,0.000998142010818889,0.00118105305835098,0.0096951395010158,0.175956654278556,"BR"
"13012",3e+05,0.3,0.001,0,0.280372459535841,6.12696213272128e-06,0.000794713856173701,-0.001490025231098,0.00233356932731284,0.519996647653267,0.0233397359853319,1.36321536762088e-06,0.000171984345550264,0.000178597837999495,0.00064222258460058,0.136718376391237,"BR"
"14012",30000,0.8,0.001,0,0.304622514103081,6.05060717856947e-05,0.00265522506077031,-0.00476241603296591,0.0102110156166246,0.615040510164127,0.0283516627144069,1.87528757858527e-05,0.000804158309901856,0.000902023406173432,0.00394924870803402,0.22364219707702,"BR"
"15012",3e+05,0.8,0.001,0,0.286292178442638,7.02963017496478e-06,0.000865916264374732,-0.00113482414813709,0.0032402860092984,0.541505670741148,0.0539014836014221,1.54080857563871e-06,0.000177124091725636,0.000209280342305173,0.000427640799041278,0.131910718409306,"BR"
"16012",30000,0.3,0.01,1,1,-0.00156144823018044,-0.0317591212811782,0.000402289638509053,-0.0195839309441311,-0.968197927689013,0,0.00118685441382292,0.00853350309833728,0.00348691590589918,0.00252655544705786,0.037484046576096,"BR"
"17012",3e+05,0.3,0.01,1,0.677038188222146,-5.61907868362965e-06,-0.000946463193677571,9.00366879097332e-05,0.00303418306312819,-0.47425278452299,0.0154258222916933,4.1772515102519e-07,5.80591340050996e-05,0.000120862810413249,0.00307350915356284,0.0194508213211677,"BR"
"18012",30000,0.8,0.01,1,0.983646180444942,-0.000464307586502163,-0.0159139635516342,0.00240423379286978,-0.0228317210702721,-0.917214826125673,0.0303975998713398,0.000176922236807328,0.0022927738899508,0.00193988704894937,0.0170984667055156,0.0287519122252101,"BR"
